,POS,PLAYER,Mat ,Inns ,NO ,Runs ,HS ,Avg ,BF ,SR ,100,50,4s ,6s ,POS,PLAYER,Pts ,Mat ,Wkts ,Dots ,4s ,6s ,Catches ,Stumpings ,POS,PLAYER,Distance (m) 
119,,,,,,,,,,,,,,,119,Kedar Jadhav ,20.0,8.0,0.0,0.0,7.0,0.0,1.0,0.0,,,
120,,,,,,,,,,,,,,,120,Shahbaz Ahmed ,18.5,2.0,2.0,9.0,0.0,0.0,1.0,0.0,,,
121,,,,,,,,,,,,,,,121,Sarfaraz Khan ,17.5,5.0,0.0,0.0,5.0,0.0,2.0,0.0,,,
122,,,,,,,,,,,,,,,122,Jayant Yadav ,16.5,2.0,1.0,13.0,0.0,0.0,0.0,0.0,,,
123,,,,,,,,,,,,,,,123,Moeen Ali ,16.5,3.0,1.0,8.0,1.0,0.0,1.0,0.0,,,
124,,,,,,,,,,,,,,,124,Mahipal Lomror ,15.5,3.0,0.0,0.0,2.0,3.0,0.0,0.0,,,
125,,,,,,,,,,,,,,,125,Pravin Dubey ,14.5,3.0,0.0,12.0,0.0,0.0,1.0,0.0,,,
126,,,,,,,,,,,,,,,126,Yashasvi Jaiswal ,14.5,3.0,0.0,0.0,2.0,2.0,1.0,0.0,,,
127,,,,,,,,,,,,,,,127,Umesh Yadav ,14.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,,,
128,,,,,,,,,,,,,,,128,Siddarth Kaul ,13.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,,,
129,,,,,,,,,,,,,,,129,Mujeeb Ur Rahman ,12.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,,,
130,,,,,,,,,,,,,,,130,Andrew Tye ,12.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,,,
131,,,,,,,,,,,,,,,131,Mohit Sharma ,10.5,1.0,1.0,7.0,0.0,0.0,0.0,0.0,,,
132,,,,,,,,,,,,,,,132,Narayan Jagadeesan ,10.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,,,
133,,,,,,,,,,,,,,,133,Murali Vijay ,10.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,,,
134,,,,,,,,,,,,,,,134,Mohammad Nabi ,10.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,,,
135,,,,,,,,,,,,,,,135,Alex Carey ,8.5,3.0,0.0,0.0,0.0,1.0,2.0,0.0,,,
136,,,,,,,,,,,,,,,136,Basil Thampi ,8.5,1.0,1.0,5.0,0.0,0.0,0.0,0.0,,,
137,,,,,,,,,,,,,,,137,Sandeep Warrier ,8.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,,,
138,,,,,,,,,,,,,,,138,Karun Nair ,7.5,4.0,0.0,0.0,2.0,0.0,1.0,0.0,,,
139,,,,,,,,,,,,,,,139,Simran Singh ,7.5,2.0,0.0,0.0,2.0,0.0,1.0,0.0,,,
140,,,,,,,,,,,,,,,140,Avesh Khan ,7.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,,,
141,,,,,,,,,,,,,,,141,Harpreet Brar ,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,,,
142,,,,,,,,,,,,,,,142,Chris Green ,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,,,
143,,,,,,,,,,,,,,,143,Tom Banton ,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,,,
144,,,,,,,,,,,,,,,144,Dhawal Kulkarni ,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,,,
145,,,,,,,,,,,,,,,145,Rinku Singh ,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
146,,,,,,,,,,,,,,,146,Monu Kumar ,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,,,
147,,,,,,,,,,,,,,,147,Ishant Sharma ,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,,,
148,,,,,,,,,,,,,,,148,Nikhil Naik ,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
149,,,,,,,,,,,,,,,149,Shreevats Goswami ,2.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
150,,,,,,,,,,,,,,,150,Mitchell Marsh ,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,
151,,,,,,,,,,,,,,,151,David Miller ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
152,,,,,,,,,,,,,,,  ,,,,,,,,,,,,
